global_idx,err
6173254,0.004878419
3771587,0.0048777764
5515281,0.004877167
4931316,0.004877121
122947,0.0048766774
1326342,0.0048763775
3522777,0.004873852
3187958,0.004873515
3771043,0.00487225
1647822,0.004872116
6049793,0.004871828
7201305,0.0048717377
2666401,0.0048706564
4355004,0.00486899
5522724,0.0048686517
5522059,0.0048680063
6709020,0.0048673027
6632148,0.0048655663
1292397,0.004865548
6049508,0.004865377
1096729,0.0048649954
1326627,0.0048649246
4955338,0.0048638
7292700,0.004863648
4355239,0.004863601
4866855,0.004863211
352471,0.0048629013
1518770,0.004862336
5588719,0.004861281
7215907,0.0048610913
3188248,0.0048604864
5173426,0.0048603285
3771019,0.0048587923
3187388,0.0048581115
5522447,0.0048580947
5481648,0.004857497
4348822,0.004854327
3066175,0.0048536174
4931571,0.00485357
5514996,0.004853222
351828,0.0048504896
2110329,0.0048503866
4354669,0.0048502404
5522316,0.004850056
4265547,0.0048497245
4571373,0.004849432
5522745,0.0048493613
3771357,0.004848499
7324224,0.00484618
1526364,0.004844781
352473,0.004844032
2063178,0.0048438464
1326334,0.004843239
2666686,0.004842978
3765107,0.0048428928
7130544,0.00484235
4348537,0.004840784
4589746,0.004840277
4955053,0.0048401547
2604283,0.0048400895
4919417,0.0048399926
6172404,0.00483984
1660612,0.004839771
4355032,0.0048385477
3558681,0.004838412
7292985,0.004838058
5522132,0.004837548
4354677,0.0048362343
3771612,0.0048358534
3922664,0.0048348308
4265832,0.004834246
935496,0.004832828
4455872,0.0048325104
4752687,0.0048320154
4355372,0.0048306137
4354962,0.0048295087
3893766,0.004829272
1648107,0.004829206
3187652,0.0048291693
4939065,0.0048288065
4348827,0.0048285555
5120707,0.0048276824
4348252,0.004827105
4938780,0.004826573
3035195,0.0048250267
5192577,0.004824097
3530773,0.0048238495
5323653,0.0048230328
935450,0.004821748
2062608,0.004821733
5522162,0.0048215156
5192002,0.0048214635
6049764,0.004820187
4349112,0.0048201745
3187673,0.004817301
5125146,0.00481682
1277926,0.0048165596
6605500,0.0048153116
955704,0.004813467
3187367,0.0048130755
924202,0.0048118727
4938069,0.0048112604
3765392,0.004810878
940147,0.004810054
4355038,0.0048099267
351823,0.004809054
5120962,0.004808861
4752655,0.0048086788
2062862,0.00480821
5522031,0.0048078643
4354748,0.0048075304
4354699,0.004807431
4355248,0.0048071104
5121101,0.0048070466
4265520,0.0048057465
1711892,0.0048055323
7215842,0.0048051784
5121042,0.0048043057
1459019,0.004803758
4354719,0.0048021493
3771039,0.004801139
5522004,0.004801122
4938379,0.00480001
6105867,0.00479925
495825,0.004798948
923887,0.0047987327
5522344,0.004797314
1667395,0.004796844
3187957,0.0047959923
1682908,0.0047959127
5522448,0.0047958717
1683198,0.0047952854
3771047,0.0047947206
6010132,0.004793984
406372,0.004793574
4752881,0.004791601
4354963,0.004789393
4348542,0.0047888337
4354752,0.004788699
7410322,0.0047878814
5120467,0.00478741
7215232,0.004786974
4354984,0.004786549
5588724,0.004786507
4114453,0.004785854
956274,0.0047848416
4354722,0.004783976
5522163,0.0047829673
4355088,0.0047824634
4354803,0.0047816024
3187052,0.0047806194
