global_idx,file,row,col,lat,lon,err
3861027,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1885,547,40.33085282735845,49.74905976065275,0.0038608161
3771066,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1841,698,40.334805414608574,49.76262432144295,0.0038608145
3278410,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1600,1610,40.35645481295586,49.844550675354654,0.0038607866
498409,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,243,745,40.478356197010875,49.766846403278315,0.0038607856
5857831,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1286,729,40.384661912877206,49.9493840690114,0.0038606885
3187083,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1556,395,40.360407400205986,49.73540536833413,0.003860672
503145,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,245,1385,40.47817653395405,49.824338581461966,0.0038606534
5426763,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,953,230,40.41457581183839,49.90455813633383,0.003860576
2063742,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1007,1406,40.409724909304146,49.826225043558615,0.0038605644
5196756,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,775,377,40.43056582389572,49.917763371010395,0.0038605046
4166937,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,2034,1305,40.31746792962507,49.817152059189006,0.0038604788
2062633,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1007,297,40.409724909304146,49.72660187854976,0.003860438
5197966,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,776,294,40.430475992367306,49.9103073541522,0.0038604192
447384,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,218,920,40.48060198522118,49.782566920750405,0.0038603775
6181797,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1537,152,40.36211419924581,49.8975512771177,0.003860324
2247375,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1097,719,40.40164007174707,49.7645107835396,0.0038600997
5605356,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1091,389,40.40217906091754,49.91884134935133,0.003860078
2985972,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1457,2036,40.36930072151877,49.88281890645814,0.00385994
2177160,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1063,136,40.404694343713075,49.71213900247543,0.0038599065
7214839,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,1,490,40.31612045669889,49.92791433372094,0.0038598806
5743352,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1198,34,40.392567087377465,49.88695115676509,0.0038598704
2604516,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1271,1508,40.38600938580339,49.83538785945663,0.003859847
4958545,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,591,78,40.447094825123514,49.89090374401522,0.003859739
898011,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,438,987,40.46083904897055,49.78858563315401,0.0038597242
2110574,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1030,1134,40.40765878415067,49.80179086783056,0.0038597216
5329017,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,877,752,40.4214030079977,49.95145019416487,0.0038595041
1064384,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,519,1472,40.453562695169175,49.832153924433804,0.003859479
272283,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,132,1947,40.4883274966646,49.874823900429476,0.0038594555
4016785,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1961,657,40.32402563119914,49.75894122877806,0.0038594103
3582137,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1749,185,40.34306991522248,49.71654074736762,0.0038593195
447696,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,218,1232,40.48060198522118,49.81059435761493,0.0038593188
1371048,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,669,936,40.44008796590738,49.784004225204995,0.0038593058
1695368,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,827,1672,40.425894584418295,49.85012023011619,0.0038592548
